李白	349557
韩信	313083
百里守约	261263
诸葛亮	238919
赵云	184607
百里玄策	134680
铠	119353
司马懿	55322
刘邦	43000
东方曜	41061
狄仁杰	38727
元歌	36825
周瑜	31527
张良	26477
花木兰	26360
大乔	23911
兰陵王	21925
庄周	20285
公孙离	16451
扁鹊	14701
明世隐	14214
李信	13156
小乔	12552
孙策	12235
弈星	10865
上官婉儿	10551
李元芳	10146
裴擒虎	9957
貂蝉	9768
王昭君	8750
孙尚香	7434
刘备	7302
露娜	5755
孙悟空	5564
瑶	4882
妲己	4658
鲁班七号	4549
吕布	4225
东皇太一	4212
白起	3950
嬴政	3885
孙膑	3770
甄姬	3662
西施	3513
伽罗	3196
嫦娥	2922
蔡文姬	2294
云中君	2195
鬼谷子	2098
干将莫邪	2066
阿轲	2059
哪吒	1548
杨戬	1544
后羿	1531
武则天	1420
虞姬	1419
苏烈	1384
米莱狄	1331
钟无艳	1328
安琪拉	1324
老夫子	1149
杨玉环	1027
沈梦溪	859
夏侯惇	858
马可波罗	745
曹操	678
马超	365
太乙真人	334
高渐离	322
关羽	257
钟馗	188
项羽	164
刘禅	156
墨子	141
成吉思汗	133
宫本武藏	112
姜子牙	91
亚瑟	49
雅典娜	24
橘右京	19
