李白	3163400
诸葛亮	2939824
韩信	2817973
赵云	2564570
百里守约	1985204
铠	1197347
百里玄策	1123543
刘邦	720159
花木兰	668484
兰陵王	576514
张良	564392
李元芳	363926
周瑜	348125
狄仁杰	280350
庄周	266151
扁鹊	245122
刘备	235806
孙尚香	231780
孙悟空	222491
小乔	210265
明世隐	178200
弈星	176853
大乔	175425
孙策	148573
元歌	141150
公孙离	129729
露娜	129441
貂蝉	116786
裴擒虎	111971
杨戬	95665
王昭君	84658
吕布	76569
苏烈	75961
东皇太一	71016
哪吒	65299
后羿	61153
司马懿	52077
妲己	48087
甄姬	46026
白起	45007
嬴政	45007
杨玉环	36985
阿轲	28734
蔡文姬	27580
虞姬	25765
高渐离	23288
安琪拉	20161
孙膑	19878
上官婉儿	17139
马可波罗	16616
橘右京	16023
亚瑟	15344
夏侯惇	13506
刘禅	10687
鬼谷子	9991
云中君	9856
伽罗	9466
李信	9380
瑶	6087
老夫子	4914
曹操	4813
沈梦溪	4307
关羽	0
干将莫邪	0
宫本武藏	0
嫦娥	0
姜子牙	0
太乙真人	0
米莱狄	0
武则天	0
鲁班七号	0
项羽	0
