李白	3030332
诸葛亮	2749396
韩信	2667263
赵云	2357552
百里守约	1964460
铠	1145456
百里玄策	1095092
刘邦	662463
花木兰	595782
张良	512091
兰陵王	509147
周瑜	332386
李元芳	328705
狄仁杰	282359
庄周	249368
扁鹊	224796
孙尚香	207537
刘备	207332
孙悟空	199895
小乔	196677
明世隐	169394
弈星	168541
大乔	164925
元歌	159964
孙策	139235
公孙离	126311
露娜	117361
貂蝉	112444
裴擒虎	104817
司马懿	100786
东方曜	93536
杨戬	84009
王昭君	82747
吕布	72017
苏烈	67090
东皇太一	64614
哪吒	57693
后羿	54855
妲己	46443
甄姬	43161
白起	41493
嬴政	41489
杨玉环	33774
蔡文姬	26644
阿轲	26548
上官婉儿	25393
虞姬	24292
孙膑	21635
李信	21512
高渐离	20521
安琪拉	20419
马可波罗	15150
橘右京	13964
亚瑟	13512
夏侯惇	12228
伽罗	11739
云中君	10315
鬼谷子	9833
刘禅	9593
瑶	9055
老夫子	6062
鲁班七号	5935
沈梦溪	4909
曹操	4675
西施	3961
嫦娥	2953
干将莫邪	2207
钟无艳	1681
米莱狄	1562
武则天	1000
马超	688
太乙真人	575
项羽	495
成吉思汗	159
墨子	155
钟馗	140
宫本武藏	140
关羽	20
姜子牙	0
雅典娜	0
