李白	6252620
诸葛亮	5720194
韩信	5516210
赵云	4953096
百里守约	3978463
铠	2368066
百里玄策	2247434
刘邦	1401306
花木兰	1287690
兰陵王	1109085
张良	1095167
李元芳	721430
周瑜	703935
狄仁杰	591508
庄周	534203
扁鹊	488602
刘备	466562
孙尚香	462741
孙悟空	447649
小乔	430366
大乔	368211
明世隐	357177
弈星	354977
孙策	315669
元歌	314011
公孙离	268058
露娜	264546
貂蝉	241248
裴擒虎	225896
杨戬	192571
王昭君	183696
司马懿	163006
吕布	157464
苏烈	154586
东皇太一	147496
哪吒	135889
后羿	125900
妲己	107093
甄姬	97517
白起	94830
嬴政	94826
东方曜	93536
杨玉环	82154
蔡文姬	67121
阿轲	62594
安琪拉	58548
虞姬	54941
高渐离	51121
上官婉儿	48040
孙膑	47856
亚瑟	46824
马可波罗	37275
李信	36625
橘右京	35496
夏侯惇	33433
刘禅	33177
伽罗	28005
云中君	25976
鬼谷子	25101
瑶	20947
老夫子	19122
沈梦溪	14949
曹操	14322
鲁班七号	11913
宫本武藏	6646
嫦娥	6470
干将莫邪	6325
米莱狄	5944
武则天	5813
太乙真人	5609
关羽	4934
姜子牙	4719
项羽	4248
西施	3961
钟无艳	1681
马超	688
成吉思汗	159
墨子	155
钟馗	140
雅典娜	0
